model,calibration_method,decision_threshold,accuracy,precision,recall,f1,pr_auc,roc_auc,brier_score,expected_calibration_error,false_positives,false_alarm_rate
persistence,uncalibrated,0.5,0.8675332351891506,0.8394524375663295,0.8411134442470253,0.8402821200691181,0.771898249958037,0.8636667034632438,0.1324667648108494,0.1324667648108494,11951,0.11378003732053772
network_logistic,isotonic,0.35000000000000003,0.6748527837259101,0.574686004784689,0.8277607279384052,0.6783894098179812,0.6458859529480396,0.760715681337435,0.19413136670813655,0.02163756754253771,45512,0.4332990593701207
cross_layer_random_forest,isotonic,0.37000000000000005,0.9017721716630978,0.8860462898633645,0.87549130458192,0.8807371749300943,0.9548668694491066,0.963668052412207,0.0714685494429354,0.01155633530235111,8365,0.07963936174264062
