model,calibration_method,threshold,f1,precision,recall,pr_auc,brier_score,expected_calibration_error,false_alarm_rate,true_negatives,false_positives,false_negatives,true_positives
network_logistic,isotonic,0.3500000000000001,0.6669995123423821,0.5618740219092332,0.8205164828886476,0.6297132386483328,0.1886430628413068,0.012429324529797673,0.40761838896370983,32549,22397,6283,28723
cross_layer_random_forest,isotonic,0.38000000000000006,0.8415957801382469,0.8540337048910326,0.8295149402959493,0.9274209398703318,0.08787002996456073,0.026324271016470887,0.09032504640920176,49983,4963,5968,29038
network_logistic,sigmoid,0.3500000000000001,0.6667746938586542,0.5604763387297634,0.8228303719362395,0.6318124932923617,0.1896520755939741,0.02975885972304318,0.4110945291740982,32358,22588,6202,28804
cross_layer_random_forest,sigmoid,0.36000000000000004,0.8414885788083866,0.8502114010788745,0.8329429240701594,0.9309265972923325,0.08873299385513743,0.03838093380768462,0.09349179194117861,49809,5137,5848,29158
cross_layer_random_forest,uncalibrated,0.5100000000000001,0.8415758833362154,0.8491131142774062,0.8341712849225847,0.9309265975376727,0.09158103491346488,0.053844881527158474,0.09443817566337859,49757,5189,5805,29201
network_logistic,uncalibrated,0.56,0.6668056617323418,0.560785536159601,0.8222590413072045,0.6318124938407242,0.21797171734400975,0.159679922464834,0.4102937429476213,32402,22544,6222,28784
